A7B8 : 20 F2 A3 : JSR A3F2       : 6 : A=80 X=6C Y=82 SP=EA N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 04-FF:934A????:??:?? = ???????????????
A57C : 64 41    : STZ 41         : 3 : A=82 X=6C Y=82 SP=EA N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A57E : 60       : RTS            : 6 : A=82 X=6C Y=82 SP=EC N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A7D7 : 64 43    : STZ 43         : 3 : A=82 X=6C Y=82 SP=EC N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A7D9 : 64 44    : STZ 44         : 3 : A=82 X=6C Y=82 SP=EC N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A7DB : 64 45    : STZ 45         : 3 : A=82 X=6C Y=82 SP=EC N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A7DD : 64 46    : STZ 46         : 3 : A=82 X=6C Y=82 SP=EC N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A7DF : A9 40    : LDA #40        : 2 : A=40 X=6C Y=82 SP=EC N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A7E1 : 85 3D    : STA 3D         : 3 : A=40 X=6C Y=82 SP=EC N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7E3 : 85 42    : STA 42         : 3 : A=40 X=6C Y=82 SP=EC N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7E5 : A2 FB    : LDX #FB        : 2 : A=40 X=FB Y=82 SP=EC N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7E7 : A0 10    : LDY #10        : 2 : A=40 X=FB Y=10 SP=EC N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7E9 : 38       : SEC            : 2 : A=40 X=FB Y=10 SP=EC N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7EA : A5 31    : LDA 31         : 3 : A=80 X=FB Y=10 SP=EC N=1 V=0 D=0 I=1 Z=0 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7EC : E9 40    : SBC #40        : 2 : A=40 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7EE : 85 31    : STA 31         : 3 : A=40 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7F0 : 98       : TYA            : 2 : A=10 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7F1 : 55 42    : EOR 42,X       : 4 : A=50 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7F3 : 95 47    : STA 47,X       : 4 : A=50 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7F5 : A5 31    : LDA 31         : 3 : A=40 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7F7 : C5 42    : CMP 42         : 3 : A=40 X=FB Y=10 SP=EC N=1 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7F9 : D0 0D    : BNE A808       : 4 : A=40 X=FB Y=10 SP=EC N=1 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A808 : 90 29    : BCC A833       : 3 : A=40 X=FB Y=10 SP=EC N=1 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A833 : B5 42    : LDA 42,X       : 4 : A=40 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A835 : 80 04    : BRA A83B       : 3 : A=40 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A83B : 95 47    : STA 47,X       : 4 : A=40 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A83D : 06 35    : ASL 35         : 5 : A=40 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=1 C=0 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A83F : 26 34    : ROL 34         : 5 : A=40 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=1 C=0 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A841 : 26 33    : ROL 33         : 5 : A=40 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=1 C=0 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A843 : 26 32    : ROL 32         : 5 : A=40 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=1 C=0 : FWA 00-82:40000000:00:00 = +1.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A845 : 26 31    : ROL 31         : 5 : A=40 X=FB Y=10 SP=EC N=1 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A847 : 98       : TYA            : 2 : A=10 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A848 : 4A       : LSR A          : 2 : A=08 X=FB Y=10 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A849 : A8       : TAY            : 2 : A=08 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A84A : 90 A4    : BCC A7F0       : 4 : A=08 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7F0 : 98       : TYA            : 2 : A=08 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7F1 : 55 42    : EOR 42,X       : 4 : A=48 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7F3 : 95 47    : STA 47,X       : 4 : A=48 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7F5 : A5 31    : LDA 31         : 3 : A=80 X=FB Y=08 SP=EC N=1 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7F7 : C5 42    : CMP 42         : 3 : A=80 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A7F9 : D0 0D    : BNE A808       : 4 : A=80 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A808 : 90 29    : BCC A833       : 2 : A=80 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
