A7B4 : 20 FA 92 : JSR 92FA       : 6 : A=A7 X=B6 Y=04 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000902:00:00 = +2.30600000E+03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
92FA : 20 EC AD : JSR ADEC       : 6 : A=A7 X=B6 Y=04 SP=EB N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000902:00:00 = +2.30600000E+03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A085 : 86 35    : STX 35         : 3 : A=32 X=00 Y=05 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A087 : 86 48    : STX 48         : 3 : A=32 X=00 Y=05 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A089 : 86 49    : STX 49         : 3 : A=32 X=00 Y=05 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A08B : C9 2E    : CMP #2E        : 2 : A=32 X=00 Y=05 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A08D : F0 11    : BEQ A0A0       : 2 : A=32 X=00 Y=05 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A08F : C9 3A    : CMP #3A        : 2 : A=32 X=00 Y=05 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A091 : B0 DF    : BCS A072       : 2 : A=32 X=00 Y=05 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A093 : E9 2F    : SBC #2F        : 2 : A=02 X=00 Y=05 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A095 : 30 DB    : BMI A072       : 2 : A=02 X=00 Y=05 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:00:00 = +0.00000000E+00 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A097 : 85 35    : STA 35         : 3 : A=02 X=00 Y=05 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
