A808 : 20 9F 97 : JSR 979F       : 6 : A=6C X=6C Y=07 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000902:00:00 = +2.19917297E-03 : FWB 09-FF:904A????:??:?? = ???????????????
979F : 20 78 AD : JSR AD78       : 6 : A=6C X=6C Y=07 SP=EB N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000902:00:00 = +2.19917297E-03 : FWB 09-FF:904A????:??:?? = ???????????????
A2E9 : 64 48    : STZ 48         : 3 : A=32 X=6C Y=08 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
A2EB : A2 FF    : LDX #FF        : 2 : A=32 X=FF Y=08 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
A2ED : 86 49    : STX 49         : 3 : A=32 X=FF Y=08 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
A2EF : C9 2E    : CMP #2E        : 2 : A=32 X=FF Y=08 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
A2F1 : F0 55    : BEQ A348       : 2 : A=32 X=FF Y=08 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
A2F3 : C9 3A    : CMP #3A        : 2 : A=32 X=FF Y=08 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
A2F5 : B0 DF    : BCS A2D6       : 2 : A=32 X=FF Y=08 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
A2F7 : E9 2F    : SBC #2F        : 2 : A=02 X=FF Y=08 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
A2F9 : 30 DB    : BMI A2D6       : 2 : A=02 X=FF Y=08 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
A2FB : 85 35    : STA 35         : 3 : A=02 X=FF Y=08 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A2FD : A5 47    : LDA 47         : 3 : A=00 X=FF Y=08 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A2FF : F0 02    : BEQ A303       : 3 : A=00 X=FF Y=08 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A303 : C8       : INY            : 2 : A=00 X=FF Y=09 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A304 : B1 19    : LDA (19),Y     : 5 : A=0D X=FF Y=09 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A306 : C9 3A    : CMP #3A        : 2 : A=0D X=FF Y=09 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A308 : B0 42    : BCS A34C       : 2 : A=0D X=FF Y=09 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A30A : E9 2F    : SBC #2F        : 2 : A=DD X=FF Y=09 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A30C : 90 34    : BCC A342       : 3 : A=DD X=FF Y=09 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A342 : 49 FE    : EOR #FE        : 2 : A=23 X=FF Y=09 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A344 : 05 47    : ORA 47         : 3 : A=23 X=FF Y=09 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A346 : D0 0F    : BNE A357       : 3 : A=23 X=FF Y=09 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A357 : 84 1B    : STY 1B         : 3 : A=23 X=FF Y=09 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A359 : A4 31    : LDY 31         : 3 : A=23 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A35B : D0 28    : BNE A385       : 2 : A=23 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A35D : A5 32    : LDA 32         : 3 : A=00 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A35F : 30 24    : BMI A385       : 2 : A=00 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A361 : 85 2D    : STA 2D         : 3 : A=00 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
